ID,Species_Name,vgp_group,Accession,Secondary_Accession
mCynVol,Cynocephalus_volans,mammals,GCF_027409185.1,GCA_027409165.1
fScoJap,Scomber_japonicus,fishes,GCF_027409825.1,GCA_027409835.1
bAmmNel,Ammospiza_nelsoni,birds,GCF_027579445.1,GCA_027579665.1
fNeoGra,Neoarius_graeffei,fishes,GCF_027579695.1,GCA_027579805.1
aBomBom,Bombina_bombina,amphibians,GCF_027579735.1,GCA_027579415.1
mSorAra,Sorex_araneus,mammals,GCF_027595985.1,GCA_027595995.1
aDenEbr,Dendropsophus_ebraccatus,amphibians,GCF_027789765.1,GCA_027789725.1
bAmmCau,Ammospiza_caudacuta,birds,GCF_027887145.1,GCA_027887135.1
rMalTer,Malaclemys_terrapin,reptiles,GCF_027887155.1,GCA_027887205.1
rEmyOrb,Emys_orbicularis,reptiles,GCF_028017835.1,GCA_028017845.1
mNeoNeb,Neofelis_nebulosa,mammals,GCF_028018385.1,GCA_030324275.1
bMelGeo,Melospiza_georgiana,birds,GCF_028018845.1,GCA_028019105.1
mEscRob,Eschrichtius_robustus,mammals,GCF_028021215.1,GCA_029890035.1
mBalRic,Balaenoptera_ricei,mammals,GCF_028023285.1,GCA_028017805.1
mNotEug,Notamacropus_eugenii,mammals,GCF_028372415.1,GCA_048593335.1
bRhePen,Rhea_pennata,birds,GCF_028389875.1,GCA_028389885.1
aPseCor,Pseudophryne_corroboree,amphibians,GCF_028390025.1,GCA_028390055.1
bRisTri,Rissa_tridactyla,birds,GCF_028500815.1,GCA_028501385.1
mEubGla,Eubalaena_glacialis,mammals,GCF_028564815.1,GCA_028571275.1
rEubMac,Eublepharis_macularius,reptiles,GCF_028583425.1,GCA_050574515.1
bGruAme,Grus_americana,birds,GCF_028858705.1,GCA_028858595.1
bColStr,Colius_striatus,birds,GCF_028858725.1,GCA_028858625.2
mPanTro,Pan_troglodytes,mammals,GCF_028858775.2,GCA_028858805.2
mSymSyn,Symphalangus_syndactylus,mammals,GCF_028878055.3,GCA_028878085.3
mPonPyg,Pongo_pygmaeus,mammals,GCF_028885625.2,GCA_028885525.2
mPonAbe,Pongo_abelii,mammals,GCF_028885655.2,GCA_028885685.2
mGorGor,Gorilla_gorilla,mammals,GCF_029281585.2,GCA_028885495.2
mPanPan,Pan_paniscus,mammals,GCF_029289425.2,GCA_030221875.1
aHylSar,Hyla_sarda,amphibians,GCF_029499605.1,GCA_029493135.1
fHopMal,Hoplias_malabaricus,fishes,GCF_029633855.1,GCA_029633875.2
fLamInc,Lampris_incognitus,fishes,GCF_029633865.1,GCA_029633845.1
rEulEur,Euleptes_europaea,reptiles,GCF_029931775.1,GCA_029931755.1
mLoxAfr,Loxodonta_africana,mammals,GCF_030014295.1,GCA_030020305.1
fTriRos,Trichomycterus_rosablanca,fishes,GCF_030014385.1,GCA_030015355.1
mManPen,Manis_pentadactyla,mammals,GCF_030020395.1,GCA_030020945.1
mHipAmp,Hippopotamus_amphibius,mammals,GCF_030028045.1,GCA_030028035.1
sMobBir,Mobula_birostris,sharks,GCF_030028105.1,GCA_030035685.1
rRhiFlo,Rhineura_floridana,reptiles,GCF_030035675.1,GCA_030035715.1
sHypSab,Hypanus_sabinus,sharks,GCF_030144855.1,GCA_030144785.1
mOchPri,Ochotona_princeps,mammals,GCF_030435755.1,GCA_030435715.1
mDasNov,Dasypus_novemcinctus,mammals,GCF_030445035.2,GCA_030445055.2
fSalBra,Salminus_brasiliensis,fishes,GCF_030463535.1,GCA_030448965.1
bPoeAtr,Poecile_atricapillus,birds,GCF_030490865.1,GCA_030490855.1
sSteTig,Stegostoma_tigrinum,sharks,GCF_030684315.1,GCA_030684295.1
rAllMis,Alligator_mississippiensis,reptiles,GCF_030867095.1,GCA_030867065.1
bGavSte,Gavia_stellata,birds,GCF_030936135.1,GCA_030936125.1
rEryReg,Erythrolamprus_reginae,reptiles,GCF_031021105.1,GCA_031001685.1
aRanImi,Ranitomeya_imitator,amphibians,GCF_032444005.1,GCA_958301615.1
sHepPer,Heptranchias_perlo,sharks,GCF_035084215.1,GCA_035084135.1
rCanAsp,Candoia_aspera,reptiles,GCF_035149785.1,GCA_035125265.1
aEleCoq,Eleutherodactylus_coqui,amphibians,GCF_035609145.1,GCA_035609135.1
bMelMel,Melospiza_melodia,birds,GCF_035770615.1,GCA_022749695.1
bCalNic,Caloenas_nicobarica,birds,GCF_036013445.1,GCA_036010745.1
bColLiv,Columba_livia,birds,GCF_036013475.1,GCA_036010775.2
bHelExo,Heliangelus_exortis,birds,GCF_036169615.1,GCA_036172335.1
aPelFus,Pelobates_fuscus,amphibians,GCF_036172605.1,GCA_036172575.1
bPsePip,Pseudopipra_pipra,birds,GCF_036250125.1,GCA_036250135.1
mCamDro,Camelus_dromedarius,mammals,GCF_036321535.1,GCA_036321565.1
sHetFra,Heterodontus_francisci,sharks,GCF_036365525.1,GCA_036365495.1
bDroNov,Dromaius_novaehollandiae,birds,GCF_036370855.1,GCA_036417515.1
fAmiCal,Amia_calva,fishes,GCF_036373705.1,GCA_036365475.1
