"","IUCN","Generations","median_Ne","lq_Ne","uq_Ne"
"458","VU",8083.6745946296,38403.4964619299,17447.1523559338,114924.575466664
"459","VU",8614.83105732282,40658.0533878569,17002.5587968018,117088.785745081
"460","VU",9180.88837909421,43060.7511707293,17023.1908622816,114525.519523608
"461","VU",9784.13980129529,45230.9687553769,17045.1786051567,111793.82798971
"462","VU",10427.0292479839,43224.3272706236,17068.6111033335,108882.64437021
"463","VU",11112.1612268784,41459.3593851974,17201.1249256344,105392.309215479
"464","VU",11842.3113808773,41251.6594814678,17692.0608572048,103994.472565167
"465","VU",12620.4377328902,41263.9397687571,18215.2548651943,103977.240283454
"466","VU",13449.6926695369,42040.4118078913,18784.9655980715,107162.458922513
"467","VU",14333.4357122626,42867.9037312204,19605.8639208107,108656.393686384
"468","VU",15275.2471276088,43706.0158733537,19707.5567573904,110481.286928671
"469","VU",16278.9424317785,44502.9961177803,20306.7114872533,108280.980790881
"470","VU",17348.5878482572,45352.3437852781,21720.3698140833,110604.805645339
"471","VU",18488.5167811122,45795.9716933805,23289.1229211518,113081.322765568
"472","VU",19703.3473707086,45452.0917336496,24298.5837245448,115098.613458784
"473","VU",20998.0012029639,45469.0081008604,25155.0072367152,114069.86553999
"474","VU",22377.7232479364,46082.4068271251,25814.7405012428,111803.30018211
"475","VU",23848.1031085258,48867.8770063351,25947.1812055681,109387.804925599
"476","VU",25415.097665368,51023.4096352892,25693.14518489,105485.847577559
"477","VU",27085.0552096646,50648.0982765451,24469.0294221332,101966.790119539
"478","VU",28864.7411617158,50387.4847196075,23543.1980157718,102883.926697481
"479","VU",30761.3654793496,50109.7469485007,23093.5651236969,103320.475460251
"480","VU",32782.6118672831,50111.40301955,22871.2027873712,99684.0743083643
"481","VU",34936.6689057542,50440.9453527463,22597.4240613898,95934.9793701309
"482","VU",37232.2632245301,50905.5916223645,22502.5736733439,90846.454770826
"483","VU",39678.6948566919,52449.1016898581,22406.5576132805,85721.0456876429
"484","VU",42285.87491542,53486.8241539216,22741.5840211409,80256.2625829993
"485","VU",45064.3657464196,52110.7381364975,23323.7541751449,74948.1095329449
"486","VU",48025.4237186547,53028.7919840529,23890.3429891581,71889.4317387199
"487","VU",51181.0448267448,54061.8913967389,24586.6275828471,70803.164118816
"488","VU",54544.0132897725,52753.8579504034,25322.9230881579,69662.8597662362
